 01:25:28 up 3 days, 22:16,  1 user,  load average: 1.33, 0.47, 0.17
 01:26:28 up 3 days, 22:17,  0 users,  load average: 0.58, 0.41, 0.17
 01:27:28 up 3 days, 22:18,  0 users,  load average: 0.29, 0.35, 0.16
 01:28:28 up 3 days, 22:19,  0 users,  load average: 0.11, 0.29, 0.15
 01:29:28 up 3 days, 22:20,  0 users,  load average: 0.12, 0.25, 0.14
 01:30:28 up 3 days, 22:21,  0 users,  load average: 0.09, 0.22, 0.14
 01:31:28 up 3 days, 22:22,  0 users,  load average: 0.11, 0.19, 0.13
 01:32:28 up 3 days, 22:23,  0 users,  load average: 0.08, 0.17, 0.12
 01:33:28 up 3 days, 22:24,  0 users,  load average: 0.11, 0.15, 0.12
 01:34:28 up 3 days, 22:25,  0 users,  load average: 0.16, 0.15, 0.12
 01:35:28 up 3 days, 22:26,  0 users,  load average: 0.06, 0.12, 0.11
 01:36:28 up 3 days, 22:27,  0 users,  load average: 0.02, 0.10, 0.09
 01:37:28 up 3 days, 22:28,  0 users,  load average: 0.00, 0.08, 0.09
 01:38:28 up 3 days, 22:29,  0 users,  load average: 0.09, 0.09, 0.09
 01:39:28 up 3 days, 22:30,  0 users,  load average: 0.08, 0.09, 0.09
 01:40:28 up 3 days, 22:31,  0 users,  load average: 0.07, 0.08, 0.09
 01:41:28 up 3 days, 22:32,  0 users,  load average: 0.72, 0.25, 0.15
 01:42:28 up 3 days, 22:33,  0 users,  load average: 0.30, 0.22, 0.14
 01:43:28 up 3 days, 22:34,  0 users,  load average: 0.11, 0.18, 0.13
 01:44:28 up 3 days, 22:35,  0 users,  load average: 0.04, 0.14, 0.12
 01:45:28 up 3 days, 22:36,  0 users,  load average: 0.01, 0.11, 0.10
 01:46:28 up 3 days, 22:37,  0 users,  load average: 0.07, 0.11, 0.10
 01:47:28 up 3 days, 22:38,  0 users,  load average: 0.02, 0.08, 0.09
 01:48:28 up 3 days, 22:39,  0 users,  load average: 0.17, 0.11, 0.10
 01:49:28 up 3 days, 22:40,  0 users,  load average: 0.06, 0.09, 0.09
 01:50:28 up 3 days, 22:41,  0 users,  load average: 0.02, 0.07, 0.08
 01:51:28 up 3 days, 22:42,  0 users,  load average: 0.01, 0.06, 0.08
 01:52:28 up 3 days, 22:43,  0 users,  load average: 0.00, 0.04, 0.07
 01:53:28 up 3 days, 22:44,  0 users,  load average: 0.00, 0.03, 0.06
 01:54:28 up 3 days, 22:45,  0 users,  load average: 0.00, 0.02, 0.06
 01:55:28 up 3 days, 22:46,  0 users,  load average: 0.00, 0.02, 0.05
 01:56:28 up 3 days, 22:47,  0 users,  load average: 0.07, 0.03, 0.05
 01:57:28 up 3 days, 22:48,  0 users,  load average: 0.02, 0.02, 0.05
 01:58:28 up 3 days, 22:49,  0 users,  load average: 0.01, 0.02, 0.04
 01:59:28 up 3 days, 22:50,  0 users,  load average: 0.00, 0.01, 0.04
 02:00:28 up 3 days, 22:51,  0 users,  load average: 0.00, 0.01, 0.03
 02:01:28 up 3 days, 22:52,  0 users,  load average: 0.00, 0.00, 0.02
 02:02:28 up 3 days, 22:53,  0 users,  load average: 0.00, 0.00, 0.02
 02:03:28 up 3 days, 22:54,  0 users,  load average: 0.00, 0.00, 0.01
 02:04:28 up 3 days, 22:55,  0 users,  load average: 0.00, 0.00, 0.01
 02:05:28 up 3 days, 22:56,  0 users,  load average: 0.00, 0.00, 0.00
 02:06:28 up 3 days, 22:57,  0 users,  load average: 0.00, 0.00, 0.00
 02:07:28 up 3 days, 22:58,  0 users,  load average: 0.00, 0.00, 0.00
 02:08:28 up 3 days, 22:59,  0 users,  load average: 0.00, 0.00, 0.00
 02:09:28 up 3 days, 23:00,  0 users,  load average: 0.07, 0.02, 0.00
 02:10:28 up 3 days, 23:01,  0 users,  load average: 0.02, 0.01, 0.00
 02:11:28 up 3 days, 23:02,  0 users,  load average: 0.01, 0.00, 0.00
 02:12:28 up 3 days, 23:03,  0 users,  load average: 0.00, 0.00, 0.00
 02:13:28 up 3 days, 23:04,  0 users,  load average: 0.00, 0.00, 0.00
 02:14:28 up 3 days, 23:05,  0 users,  load average: 0.00, 0.00, 0.00
 02:15:28 up 3 days, 23:06,  0 users,  load average: 0.00, 0.00, 0.00
 02:16:28 up 3 days, 23:07,  0 users,  load average: 0.00, 0.00, 0.00
 02:17:28 up 3 days, 23:08,  0 users,  load average: 0.00, 0.00, 0.00
 02:18:28 up 3 days, 23:09,  0 users,  load average: 0.00, 0.00, 0.00
 02:19:28 up 3 days, 23:10,  0 users,  load average: 0.00, 0.00, 0.00
 02:20:28 up 3 days, 23:11,  0 users,  load average: 0.00, 0.00, 0.00
 02:21:28 up 3 days, 23:12,  0 users,  load average: 0.00, 0.00, 0.00
 02:22:28 up 3 days, 23:13,  0 users,  load average: 0.00, 0.00, 0.00
